Unnamed: 0,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,Yes (0.5),Yes (0.712681),Yes (0.9966299999999999),Yes (0.91017),Yes (0.087323),Yes (0.993935),Yes (0.879445),Yes (1.0),No(0.023022),Yes (0.984677),Yes (0.087323),Yes (0.970232),Yes (0.9999979999999999),Yes (0.9999979999999999),Yes (0.5851310000000001),Yes (0.087323),Yes (0.9481379999999999),Yes (0.9994620000000001),Yes (0.676032),Yes (0.993477),Yes (0.9693459999999999),Yes (0.996341),Yes (0.9001709999999999),Yes (0.998301),Yes (0.6119720000000001),Yes (0.993718),Yes (0.998798),Yes (0.980457),Yes (0.9868370000000001),Yes (0.85815),Yes (0.346463),Yes (0.977571),Yes (0.160993),Yes (0.087323),Yes (0.9999889999999999),Yes (0.087323),Yes (0.868396),Yes (0.995741),Yes (0.963274),Yes (0.985806),Yes (0.996885),No(0.005219),Yes (0.9660190000000001),Yes (0.9318139999999999),Yes (0.490361),Yes (0.455962),Yes (0.9989879999999999),Yes (0.997168),Yes (0.9915700000000001),Yes (0.9990389999999999),Yes (0.9126920000000001),Yes (0.7894100000000001),Yes (0.9076280000000001),Yes (0.37655500000000003)
ajdqnf,No(0.0),Yes (0.5),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),Yes (0.585156),Yes (1.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),Yes (0.690703),No(0.0),No(0.0),Yes (0.49393400000000004),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),No(0.0),Yes (0.566109),No(0.0),No(0.0),No(0.0)
amsh7c,Yes (0.9256340000000001),Yes (0.715778),Yes (0.5),Yes (0.8977290000000001),Yes (0.066634),Yes (0.956274),Yes (0.5358229999999999),Yes (0.979975),Yes (0.9394549999999999),Yes (0.550438),Yes (0.066634),Yes (0.393275),Yes (0.284329),Yes (0.10951500000000002),Yes (0.9860260000000001),Yes (0.066634),Yes (0.500868),Yes (0.5080399999999999),Yes (0.194973),Yes (0.784101),Yes (0.48271000000000003),Yes (0.58424),Yes (0.890868),Yes (0.9761690000000001),Yes (0.8119810000000001),Yes (0.26803499999999997),Yes (0.9572649999999999),Yes (0.5269729999999999),Yes (0.92999),Yes (0.874318),No(0.00021899999999999998),Yes (0.619633),Yes (0.053068),Yes (0.066634),Yes (0.351471),Yes (0.066634),Yes (0.8506360000000001),Yes (0.07850900000000001),Yes (0.608495),Yes (0.447301),Yes (0.8092090000000001),Yes (0.7407189999999999),Yes (0.191717),Yes (0.972399),Yes (0.138898),Yes (0.36235500000000004),No(0.041402999999999995),Yes (0.6034149999999999),Yes (0.800887),Yes (0.8627299999999999),Yes (0.7751020000000001),Yes (0.5906239999999999),Yes (0.646265),Yes (0.508551)
bay6g7,Yes (0.994085),Yes (1.0),Yes (0.19739600000000002),Yes (0.5),No(0.001166),Yes (0.999016),Yes (0.755815),Yes (0.996901),Yes (1.0),Yes (1.0),No(0.001166),Yes (0.588379),Yes (0.987038),Yes (0.997424),Yes (0.991027),No(0.001166),Yes (0.15127100000000002),Yes (1.0),Yes (0.11227100000000001),Yes (0.47448999999999997),Yes (1.0),Yes (0.46927399999999997),Yes (0.42744499999999996),Yes (0.9999),Yes (0.9985639999999999),Yes (0.833777),Yes (0.431805),Yes (0.9997440000000001),Yes (0.624653),Yes (0.776139),No(0.019328),Yes (0.324121),No(0.00201),No(0.001166),Yes (0.999999),No(0.001166),Yes (0.9851700000000001),Yes (0.9956459999999999),Yes (1.0),Yes (0.9999889999999999),Yes (0.989972),Yes (1.0),Yes (0.43082700000000007),Yes (1.0),No(0.027291000000000003),Yes (0.37696999999999997),Yes (0.889066),Yes (0.896914),Yes (0.399935),Yes (0.987685),Yes (1.0),No(0.0225),Yes (0.99455),Yes (0.108329)
cjdk88,Yes (1.0),Yes (1.0),Yes (0.9997719999999999),Yes (0.999641),Yes (0.5),Yes (1.0),Yes (0.999132),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (0.9999709999999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (0.999974),Yes (1.0),Yes (0.868758),Yes (0.346815),Yes (1.0),Yes (0.9980979999999999),Yes (0.999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.994898),Yes (0.999999),Yes (0.9999979999999999),Yes (1.0),Yes (0.45660200000000006),Yes (0.99126),Yes (0.97541),Yes (0.5),Yes (0.999977),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.999974),Yes (1.0),Yes (0.9997090000000001),Yes (1.0),Yes (0.17391700000000002),Yes (0.982935),Yes (0.999758),Yes (1.0),Yes (0.9999969999999999),Yes (1.0),Yes (1.0),Yes (0.9998309999999999),Yes (1.0),Yes (0.39169499999999996)
ctkbn4,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
dlokv6,Yes (1.0),Yes (0.999999),Yes (0.999934),Yes (0.9997940000000001),Yes (0.8286190000000001),Yes (1.0),Yes (0.5),Yes (1.0),Yes (0.999969),Yes (0.9999950000000001),Yes (0.8286190000000001),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.8286190000000001),Yes (0.9951559999999999),Yes (1.0),Yes (0.9985229999999999),Yes (0.8977459999999999),Yes (0.995769),Yes (0.999985),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.9999969999999999),Yes (1.0),Yes (1.0),Yes (0.999984),Yes (0.87834),Yes (0.927335),Yes (0.997408),Yes (0.997052),Yes (0.8286190000000001),Yes (0.999763),Yes (0.8286190000000001),Yes (1.0),Yes (1.0),Yes (0.9999979999999999),Yes (1.0),Yes (0.999999),Yes (0.9975149999999999),Yes (0.999983),Yes (1.0),Yes (0.84865),Yes (0.9915209999999999),Yes (1.0),Yes (1.0),Yes (0.999985),Yes (1.0),Yes (1.0),Yes (0.998944),Yes (1.0),Yes (0.8167840000000001)
dsdxd8,Yes (0.982778),Yes (0.293836),Yes (0.694271),Yes (0.378761),No(3.4e-05),Yes (0.984353),Yes (0.723871),Yes (0.5),Yes (0.5956359999999999),Yes (0.727521),No(3.4e-05),Yes (0.333221),Yes (0.9954639999999999),Yes (0.999886),Yes (0.999382),No(3.4e-05),No(0.012744),Yes (0.9378690000000001),No(0.042564),Yes (0.353504),Yes (0.999662),Yes (0.961932),No(0.012339),Yes (0.999108),Yes (0.999765),Yes (0.992908),Yes (0.43742299999999995),Yes (0.99716),Yes (0.11071600000000001),Yes (0.34333800000000003),No(0.00031),Yes (0.878094),No(2e-06),No(3.4e-05),Yes (0.9164200000000001),No(3.4e-05),Yes (0.9341870000000001),Yes (0.9999899999999999),Yes (0.6066050000000001),Yes (0.808408),Yes (0.93796),Yes (0.480151),Yes (0.9430559999999999),Yes (1.0),No(0.000286),No(0.004939),Yes (0.9960100000000001),Yes (0.956311),Yes (0.7627189999999999),Yes (0.9999),Yes (0.37633),Yes (0.45452600000000004),Yes (0.976872),No(4.9e-05)
dtqb7d,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
elnfhc,Yes (0.478886),No(0.043485),Yes (0.219691),Yes (0.228479),No(9e-06),Yes (0.994906),Yes (0.469782),Yes (0.720437),Yes (0.5087109999999999),Yes (0.5),No(9e-06),Yes (0.466055),Yes (0.999526),Yes (0.997726),Yes (0.383932),No(9e-06),Yes (0.22750700000000001),Yes (0.956263),No(0.038573),Yes (0.943708),Yes (0.989655),Yes (0.996209),Yes (0.095696),Yes (0.530572),Yes (0.8330719999999999),Yes (0.784583),Yes (0.8307059999999999),Yes (1.0),Yes (0.32155),Yes (0.6624439999999999),No(7.3e-05),Yes (0.925941),No(1e-05),No(9e-06),Yes (0.9522209999999999),No(9e-06),Yes (0.394663),Yes (0.999822),Yes (0.25511300000000003),Yes (0.9980760000000001),Yes (0.9727819999999999),Yes (0.07851),Yes (0.9075479999999999),Yes (0.722803),No(0.000207),No(0.001046),Yes (0.999409),Yes (0.754757),Yes (0.152087),Yes (0.9993860000000001),No(0.047352),No(0.00628),Yes (0.665195),No(2.5e-05)
