Unnamed: 0,ajb9b3,ajdqnf,amsh7c,bay6g7,cjdk88,ctkbn4,dlokv6,dsdxd8,dtqb7d,elnfhc,habc8,hemmb2,hmnhx4,hnldm2,jac345,jahq76,jdf5g4,jfk535,jhgn9c,jkn7fc,jlgwxc,jlkm94,jmd5h8,jrrgxf,kab5zb,kah89f,kdcncc,kedgm9,krh5f5,lms8m4,lpnb79,mjpg95,mmg9n6,mtf7w2,mwwcn6,ngtp8b,nhm2p3,njd5zf,nm8c7,oro26b,pecxc9,pt7td,rrg3md,sanfz9,sbpc42,smdvw5,tah5z2,tcdzb7,tjdpzd,tlgdq9,vvmmvd,wahbf,wgocnc,zws2p8
ajb9b3,Yes (0.5),No (0.0),No (0.0011099999999999999),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.806347),Yes (0.518047),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.9558139999999999),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.000124),No (0.0),No (0.0)
ajdqnf,No (0.0),Yes (0.5),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.810683),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.464634),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0)
amsh7c,No (0.0),No (0.0),Yes (0.5),No (0.0),No (0.0),No (1e-06),No (0.0),Yes (0.999923),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.002769),No (0.0),No (5e-06),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (0.9714149999999999),No (0.0),No (0.0),No (1e-06),No (0.0),No (0.0),No (0.049842000000000004),No (0.0),No (0.0),No (0.006354),Yes (0.138502),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (4.6e-05),No (0.0),No (0.0),No (0.0005549999999999999),Yes (0.12112300000000001),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.978991),No (0.0),No (0.0007070000000000001),No (0.0),No (0.0)
bay6g7,Yes (0.430096),Yes (1.0),No (0.0),Yes (0.5),No (0.0),Yes (0.5122720000000001),No (0.0),No (0.001114),Yes (1.0),Yes (1.0),No (0.0),No (0.004236),No (7.000000000000001e-06),Yes (0.310235),Yes (0.091133),No (0.0),No (0.0),Yes (0.775791),No (0.0),No (0.0),Yes (1.0),No (0.027666000000000003),No (0.0),Yes (0.994576),No (0.0025280000000000003),No (0.0),Yes (0.576284),Yes (0.458717),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.9999979999999999),No (0.0),Yes (0.9916370000000001),No (0.0),Yes (1.0),Yes (0.41637299999999994),No (0.0),Yes (1.0),No (0.0),Yes (0.093778),No (0.0),No (0.0),No (0.0),No (0.025796),No (0.0),No (0.033031),Yes (1.0),No (1e-06),No (0.007354),No (0.0)
cjdk88,Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),Yes (1.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0)
ctkbn4,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
dlokv6,Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (0.5),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.00011200000000000001),Yes (1.0),Yes (0.9997440000000001),Yes (0.925393),Yes (1.0),Yes (1.0),No (0.0),No (0.00119),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0)
dsdxd8,Yes (1.0),No (0.0),Yes (0.999999),Yes (1.0),No (0.0),Yes (1.0),Yes (0.990394),Yes (0.5),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (0.9990120000000001),Yes (0.350211),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.999933),Yes (1.0),Yes (1.0),Yes (0.869851),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (0.9999520000000001),No (0.0),Yes (1.0),No (0.0),Yes (0.9386709999999999),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0)
dtqb7d,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
elnfhc,Yes (1.0),No (1.4999999999999999e-05),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.5),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.999999),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.556433),Yes (1.0),Yes (0.887907),No (0.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0068909999999999996),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (0.9998600000000001),Yes (1.0),Yes (1.0),No (0.0)
habc8,Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5),Yes (0.5)
hemmb2,Yes (1.0),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),Yes (0.5),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.9992489999999999),Yes (1.0),No (2e-06),Yes (0.419333),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),No (2.9999999999999997e-05),No (0.0),Yes (1.0),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (1.0),Yes (0.999994),No (0.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.092892),Yes (1.0),Yes (0.9005489999999999),No (0.0),Yes (1.0),Yes (1.0),Yes (1.0),Yes (1.0),No (0.0),Yes (0.999843),No (0.000547),No (0.0)
hmnhx4,No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (0.5),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),Yes (1.0),Yes (0.569892),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.9999969999999999),No (0.0),No (0.0),No (0.0),No (0.0)
hnldm2,Yes (0.999296),No (0.0),No (0.0),Yes (1.0),No (0.0),Yes (0.091286),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),Yes (0.5),No (0.0),No (0.0),No (0.0),No (0.008161),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.037594),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.000147),No (0.0),No (0.0),Yes (1.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0),No (0.0)
